,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
336,PyText,facebookresearch/pytext,nlp,,https://github.com/facebookresearch/pytext,https://github.com/facebookresearch/pytext,BSD-3-Clause,2018-07-31 23:40:46.000,2022-06-10 23:08:35.000000,2022-06-10 23:04:56,1713,16.0,804,167.0,1583.0,145.0,74.0,6328,A natural language modeling framework based on PyTorch.,227.0,28,True,2020-06-08 23:30:58.000,0.3.3,13.0,pytext-nlp,,,,['pytorch'],110.0,109.0,https://pypi.org/project/pytext-nlp,2020-06-08 22:49:33.000,1.0,316.0,323.0,,,,,,,,2.0,,294.0,,,,,,,,,,,,,,,,,,
337,NuPIC,numenta/nupic,ml-frameworks,,https://github.com/numenta/nupic,https://github.com/numenta/nupic,AGPL-3.0,2013-04-05 23:14:27.000,2021-03-25 21:39:47.000000,2019-10-23 20:45:07,6625,,1585,631.0,2110.0,456.0,1338.0,6297,"Numenta Platform for Intelligent Computing is an implementation of Hierarchical Temporal Memory (HTM), a theory of..",121.0,28,False,2018-06-01 15:37:54.000,1.0.5,53.0,nupic,,,,,147.0,109.0,https://pypi.org/project/nupic,2018-06-01 15:37:54.000,38.0,2193.0,2193.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
338,kaggle,Kaggle/kaggle-api,ml-experiments,,https://github.com/Kaggle/kaggle-api,https://github.com/Kaggle/kaggle-api,Apache-2.0,2018-01-25 03:02:39.000,2022-05-12 04:34:56.000000,2021-03-15 15:49:05,145,,928,181.0,77.0,220.0,146.0,4794,Official Kaggle API.,36.0,28,False,2021-03-13 00:50:03.000,1.5.12,48.0,kaggle,conda-forge/kaggle,,,,337.0,,https://pypi.org/project/kaggle,2021-03-13 00:50:03.000,337.0,128753.0,131107.0,https://anaconda.org/conda-forge/kaggle,2021-12-17 19:19:11.878,87123.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
339,Augmentor,mdbloice/Augmentor,image,,https://github.com/mdbloice/Augmentor,https://github.com/mdbloice/Augmentor,MIT,2016-03-01 18:29:55.000,2022-05-24 12:15:11.000000,2022-05-24 12:15:11,544,7.0,849,126.0,58.0,127.0,72.0,4737,Image augmentation library in Python for machine learning.,22.0,28,True,2022-04-27 09:29:23.000,0.2.10,22.0,Augmentor,,,,,492.0,463.0,https://pypi.org/project/Augmentor,2022-04-27 09:29:23.000,29.0,20527.0,20527.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
340,Edward,blei-lab/edward,probabilistics,,https://github.com/blei-lab/edward,https://github.com/blei-lab/edward,Apache-2.0,2016-02-10 20:06:05.000,2019-10-22 20:30:48.000000,2018-07-25 01:28:08,1796,,767,279.0,437.0,212.0,328.0,4709,"A probabilistic programming language in TensorFlow. Deep generative models, variational inference.",87.0,28,False,2018-01-22 06:03:37.000,1.3.5,28.0,edward,,,,['tensorflow'],308.0,268.0,https://pypi.org/project/edward,2018-01-22 06:03:05.000,40.0,1928.0,1928.0,,,,,,,,3.0,,15.0,,,,,,,,,,,,,,,,,,
341,skorch,skorch-dev/skorch,ml-frameworks,,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000,2022-06-06 21:38:51.000000,2022-06-06 21:38:48,989,9.0,304,81.0,426.0,52.0,390.0,4536,A scikit-learn compatible neural network library that wraps PyTorch.,49.0,28,True,2021-10-31 15:54:20.000,0.11.0,14.0,skorch,conda-forge/skorch,,,"['pytorch', 'sklearn']",549.0,516.0,https://pypi.org/project/skorch,2021-10-31 15:48:51.000,33.0,22053.0,34434.0,https://anaconda.org/conda-forge/skorch,2021-11-30 10:48:50.965,557172.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
342,ArrayFire,arrayfire/arrayfire,gpu-utilities,,https://github.com/arrayfire/arrayfire,https://github.com/arrayfire/arrayfire,BSD-3-Clause,2014-10-28 20:58:33.000,2022-06-15 17:48:15.000000,2022-06-06 17:25:43,5831,39.0,492,153.0,1740.0,238.0,1282.0,3841,ArrayFire: a general purpose GPU library.,81.0,28,True,2022-05-19 15:14:26.000,3.8.2,32.0,arrayfire,,,,,5.0,,https://pypi.org/project/arrayfire,2022-02-22 21:42:15.000,5.0,569.0,597.0,,,,,,,,2.0,,2424.0,,,,,,,,,,,,,,,,,,
343,Lasagne,Lasagne/Lasagne,ml-frameworks,,https://github.com/Lasagne/Lasagne,https://github.com/Lasagne/Lasagne,MIT,2014-09-11 15:31:41.000,2022-03-26 02:58:32.000000,2019-11-20 20:28:30,1161,,977,215.0,408.0,139.0,402.0,3817,Lightweight library to build and train neural networks in Theano.,72.0,28,False,2015-08-13 21:00:09.000,0.1,2.0,lasagne,,,,,1179.0,918.0,https://pypi.org/project/lasagne,2021-12-15 16:05:43.118,261.0,2427.0,2427.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
344,TensorFlowOnSpark,yahoo/TensorFlowOnSpark,distributed-ml,,https://github.com/yahoo/TensorFlowOnSpark,https://github.com/yahoo/TensorFlowOnSpark,Apache-2.0,2017-01-20 18:15:57.000,2022-04-21 20:08:19.000000,2022-04-21 18:24:14,631,2.0,968,284.0,222.0,7.0,355.0,3797,TensorFlowOnSpark brings TensorFlow programs to Apache Spark clusters.,34.0,28,True,2022-04-21 20:41:22.000,2.2.5,32.0,tensorflowonspark,conda-forge/tensorflowonspark,,,"['tensorflow', 'spark']",5.0,,https://pypi.org/project/tensorflowonspark,2022-04-21 20:05:56.000,5.0,479273.0,479632.0,https://anaconda.org/conda-forge/tensorflowonspark,2022-03-27 02:58:05.206,10780.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
345,vaderSentiment,cjhutto/vaderSentiment,nlp,,https://github.com/cjhutto/vaderSentiment,https://github.com/cjhutto/vaderSentiment,MIT,2014-11-17 16:31:45.000,2022-04-01 13:57:36.000000,2022-04-01 13:57:36,131,4.0,866,139.0,29.0,33.0,75.0,3619,VADER Sentiment Analysis. VADER (Valence Aware Dictionary and sEntiment Reasoner) is a lexicon and rule-based..,11.0,28,True,2020-05-22 15:07:00.000,3.3.2,15.0,vadersentiment,conda-forge/vadersentiment,,,,4078.0,3904.0,https://pypi.org/project/vadersentiment,2020-05-22 15:07:00.000,174.0,207234.0,207821.0,https://anaconda.org/conda-forge/vadersentiment,2021-03-22 07:41:03.629,8811.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
346,pytorch-summary,sksq96/pytorch-summary,pytorch-utils,,https://github.com/sksq96/pytorch-summary,https://github.com/sksq96/pytorch-summary,MIT,2018-04-23 13:58:04.000,2022-06-09 13:11:58.000000,2021-05-10 18:34:53,57,,398,35.0,52.0,118.0,42.0,3572,Model summary in PyTorch similar to `model.summary()` in Keras.,11.0,28,False,2018-09-26 05:07:28.000,1.5.1,12.0,torchsummary,,,,['pytorch'],5332.0,5261.0,https://pypi.org/project/torchsummary,2018-09-26 05:07:28.000,71.0,103775.0,103775.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
347,BentoML,bentoml/BentoML,model-serialisation,,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27.000,2022-06-16 08:26:26.000000,2022-06-16 07:40:28,1724,149.0,400,59.0,1839.0,57.0,548.0,3544,The Unified Model Serving Framework.,108.0,28,True,2021-07-13 10:52:52.000,0.13.1,63.0,bentoml,,,,,3.0,,https://pypi.org/project/bentoml,2022-05-30 05:51:57.000,3.0,33860.0,33898.0,,,,,,,,2.0,,1467.0,,,,,,,,,,,,,,,,,,
348,SynapseML,microsoft/SynapseML,distributed-ml,,https://github.com/microsoft/SynapseML,https://github.com/microsoft/SynapseML,MIT,2017-06-05 08:23:44.000,2022-06-15 23:05:30.000000,2022-06-14 23:47:30,1139,63.0,673,134.0,988.0,248.0,332.0,3321,Simple and Distributed Machine Learning.,92.0,28,True,2022-01-12 22:50:41.000,0.9.5,23.0,synapseml,,,,,1.0,,https://pypi.org/project/synapseml,2022-01-12 22:50:41.000,1.0,35750.0,35750.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
349,pomegranate,jmschrei/pomegranate,probabilistics,,https://github.com/jmschrei/pomegranate,https://github.com/jmschrei/pomegranate,MIT,2014-11-24 18:36:58.000,2022-06-03 12:01:04.000000,2022-02-21 05:08:38,933,,531,103.0,316.0,52.0,614.0,2913,"Fast, flexible and easy to use probabilistic modelling in Python.",65.0,28,True,2021-11-19 21:46:05.000,0.14.7,68.0,pomegranate,conda-forge/pomegranate,,,,749.0,703.0,https://pypi.org/project/pomegranate,2022-02-21 06:50:33.000,46.0,38108.0,40629.0,https://anaconda.org/conda-forge/pomegranate,2021-11-16 01:22:35.020,88240.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
350,gpustat,wookayin/gpustat,gpu-utilities,,https://github.com/wookayin/gpustat,https://github.com/wookayin/gpustat,MIT,2016-04-24 10:46:43.000,2022-05-31 13:31:28.000000,2022-05-31 13:31:28,172,1.0,222,42.0,41.0,22.0,63.0,2900,A simple command-line utility for querying and monitoring GPU status.,13.0,28,True,2019-07-22 06:37:00.000,0.6.0,11.0,gpustat,conda-forge/gpustat,,,,2040.0,1941.0,https://pypi.org/project/gpustat,2021-01-02 05:59:41.000,99.0,648536.0,651928.0,https://anaconda.org/conda-forge/gpustat,2020-11-24 19:59:04.772,132292.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
351,TextDistance,life4/textdistance,nlp,,https://github.com/life4/textdistance,https://github.com/life4/textdistance,MIT,2017-05-05 08:46:10.000,2022-04-09 15:11:19.000000,2021-11-29 10:29:02,321,,227,58.0,42.0,9.0,,2858,"Compute distance between sequences. 30+ algorithms, pure python implementation, common interface, optional external..",11.0,28,True,2021-10-27 13:15:53.000,4.2.2,22.0,textdistance,conda-forge/textdistance,,,,2345.0,2306.0,https://pypi.org/project/textdistance,2021-10-27 13:15:53.000,39.0,545898.0,548438.0,https://anaconda.org/conda-forge/textdistance,2021-10-27 17:04:18.548,123869.0,,,,,2.0,,710.0,,,,,,,,,,,,,,,,,,
352,aubio,aubio/aubio,audio,,https://github.com/aubio/aubio,https://github.com/aubio/aubio,GPL-3.0,2009-12-04 21:07:44.000,2022-05-16 20:30:52.000000,2022-01-25 17:32:20,4123,,339,82.0,56.0,134.0,181.0,2737,a library for audio and music analysis.,24.0,28,False,2019-02-27 09:00:43.000,0.4.9,10.0,aubio,conda-forge/aubio,,,,331.0,306.0,https://pypi.org/project/aubio,2019-02-08 11:21:02.000,25.0,1344.0,9593.0,https://anaconda.org/conda-forge/aubio,2022-03-29 03:08:52.036,519741.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
353,pandas-ta,twopirllc/pandas-ta,probabilistics,,https://github.com/twopirllc/pandas-ta,https://github.com/twopirllc/pandas-ta,MIT,2019-02-19 16:41:09.000,2022-06-14 22:43:54.000000,2022-06-07 20:37:48,582,1.0,571,77.0,141.0,56.0,342.0,2573,Technical Analysis Indicators - Pandas TA is an easy to use Python 3 Pandas Extension with 130+ Indicators.,44.0,28,True,2021-07-28 20:21:21.000,0.3.14,19.0,pandas-ta,conda-forge/pandas-ta,,,['pandas'],707.0,691.0,https://pypi.org/project/pandas-ta,2021-07-28 20:51:17.000,16.0,64505.0,64639.0,https://anaconda.org/conda-forge/pandas-ta,2021-10-05 09:16:48.657,1079.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
354,MMOCR,open-mmlab/mmocr,ocr,,https://github.com/open-mmlab/mmocr,https://github.com/open-mmlab/mmocr,Apache-2.0,2021-04-07 13:40:21.000,2022-06-15 07:58:41.000000,2022-06-15 07:58:40,536,94.0,454,46.0,514.0,92.0,489.0,2506,"OpenMMLab Text Detection, Recognition and Understanding Toolbox.",52.0,28,True,2022-05-05 14:21:18.000,0.6.0,8.0,mmocr,,,,['pytorch'],15.0,14.0,https://pypi.org/project/mmocr,2022-05-05 14:21:18.000,1.0,2207.0,2207.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
355,TF Ranking,tensorflow/ranking,recommender-systems,,https://github.com/tensorflow/ranking,https://github.com/tensorflow/ranking,Apache-2.0,2018-12-03 20:48:57.000,2022-06-11 08:17:45.000000,2022-04-26 21:33:51,470,28.0,430,92.0,33.0,53.0,236.0,2498,Learning to Rank in TensorFlow.,28.0,28,True,2021-11-16 23:49:54.000,0.5.0,19.0,tensorflow_ranking,,,,['tensorflow'],11.0,,https://pypi.org/project/tensorflow_ranking,2021-11-16 01:31:58.000,11.0,77058.0,77058.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
356,Mars,mars-project/mars,others,,https://github.com/mars-project/mars,https://github.com/mars-project/mars,Apache-2.0,2018-12-05 16:04:03.000,2022-06-16 09:57:24.000000,2022-06-16 08:38:19,1207,130.0,303,89.0,2034.0,182.0,906.0,2434,"Mars is a tensor-based unified framework for large-scale data computation which scales numpy, pandas, scikit-learn and..",45.0,28,True,2022-06-12 11:43:21.000,0.9.0,115.0,pymars,,,,,1.0,,https://pypi.org/project/pymars,2022-06-12 11:43:21.000,1.0,35240.0,35240.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
357,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2022-06-14 21:37:17.000000,2022-04-16 02:58:29,379,1.0,367,62.0,148.0,126.0,121.0,2019,Header-only C++/python library for fast approximate nearest neighbors.,56.0,28,True,2022-02-14 22:34:58.000,0.6.2,9.0,hnswlib,conda-forge/hnswlib,,,,273.0,249.0,https://pypi.org/project/hnswlib,2022-02-14 22:34:58.000,24.0,367195.0,369599.0,https://anaconda.org/conda-forge/hnswlib,2022-04-16 08:50:37.714,43283.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
358,sahi,obss/sahi,image,,https://github.com/obss/sahi,https://github.com/obss/sahi,MIT,2021-01-30 12:54:53.000,2022-06-16 13:32:06.000000,2022-06-16 13:26:51,331,27.0,259,33.0,319.0,19.0,138.0,1736,A lightweight vision library for performing large scale object detection/ instance segmentation.,13.0,28,True,2022-05-28 18:14:18.000,0.9.4,76.0,sahi,conda-forge/sahi,,,,77.0,72.0,https://pypi.org/project/sahi,2022-05-28 18:18:25.000,5.0,76956.0,77544.0,https://anaconda.org/conda-forge/sahi,2022-05-28 21:37:48.956,4381.0,,,,,3.0,,666.0,,,,,,,,,,,,,,,,,,
359,Talos,autonomio/talos,hyperopt,,https://github.com/autonomio/talos,https://github.com/autonomio/talos,MIT,2018-05-04 20:36:41.000,2022-05-28 10:07:34.000000,2022-04-23 16:54:30,635,50.0,257,27.0,181.0,21.0,372.0,1524,"Hyperparameter Optimization for TensorFlow, Keras and PyTorch.",22.0,28,True,2022-05-28 10:07:13.000,1.3,17.0,talos,,,,['tensorflow'],153.0,146.0,https://pypi.org/project/talos,2022-05-28 10:07:34.000,7.0,1671.0,1671.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
360,petastorm,uber/petastorm,distributed-ml,,https://github.com/uber/petastorm,https://github.com/uber/petastorm,Apache-2.0,2018-06-15 23:15:29.000,2022-04-28 18:35:11.000000,2022-04-21 03:53:31,672,3.0,242,41.0,481.0,141.0,139.0,1442,Petastorm library enables single machine or distributed training and evaluation of deep learning models from datasets..,44.0,28,True,2022-02-19 02:47:30.000,0.11.4,77.0,petastorm,,,,,76.0,70.0,https://pypi.org/project/petastorm,2022-02-19 02:47:30.000,6.0,91390.0,91396.0,,,,,,,,2.0,,309.0,,,,,,,,,,,,,,,,,,
361,TF Recommenders,tensorflow/recommenders,recommender-systems,,https://github.com/tensorflow/recommenders,https://github.com/tensorflow/recommenders,Apache-2.0,2020-06-26 21:38:01.000,2022-06-01 18:39:56.000000,2022-06-01 18:39:46,306,6.0,194,47.0,238.0,150.0,133.0,1335,TensorFlow Recommenders is a library for building recommender system models using TensorFlow.,33.0,28,True,2021-08-23 23:29:59.000,0.6.0,12.0,tensorflow-recommenders,,,,['tensorflow'],117.0,116.0,https://pypi.org/project/tensorflow-recommenders,2021-08-23 23:29:59.000,1.0,2666228.0,2666228.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
362,fairlearn,fairlearn/fairlearn,interpretability,,https://github.com/fairlearn/fairlearn,https://github.com/fairlearn/fairlearn,MIT,2018-05-15 01:51:35.000,2022-06-16 00:23:51.000000,2022-06-09 18:08:27,708,33.0,309,34.0,710.0,167.0,219.0,1289,A Python package to assess and improve fairness of machine learning models.,67.0,28,True,2021-07-07 08:16:09.000,0.7.0,16.0,fairlearn,conda-forge/fairlearn,,,['sklearn'],13.0,,https://pypi.org/project/fairlearn,2021-07-07 05:54:23.000,13.0,99582.0,100242.0,https://anaconda.org/conda-forge/fairlearn,2021-07-07 15:56:16.605,18487.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
363,TabPy,tableau/TabPy,others,,https://github.com/tableau/TabPy,https://github.com/tableau/TabPy,MIT,2016-09-27 21:26:03.000,2022-06-10 20:11:23.000000,2022-06-10 20:11:23,891,6.0,469,111.0,247.0,10.0,287.0,1268,Execute Python code on the fly and display results in Tableau visualizations:.,47.0,28,True,2022-01-20 22:19:32.000,2.5.0,26.0,tabpy,anaconda/tabpy-client,,,,93.0,91.0,https://pypi.org/project/tabpy,2022-01-20 22:19:32.000,2.0,23750.0,23796.0,https://anaconda.org/anaconda/tabpy-client,2022-05-02 20:36:07.551,2908.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
364,SciSpacy,allenai/scispacy,nlp,,https://github.com/allenai/scispacy,https://github.com/allenai/scispacy,Apache-2.0,2018-09-24 21:45:52.000,2022-03-10 20:26:25.000000,2022-03-10 20:26:25,974,,154,55.0,182.0,37.0,227.0,1170,A full spaCy pipeline and models for scientific/biomedical documents.,23.0,28,True,2022-03-10 20:16:24.000,0.5.0,11.0,scispacy,,,,,488.0,471.0,https://pypi.org/project/scispacy,2022-03-10 20:16:24.000,17.0,20363.0,20363.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
365,ffn,pmorissette/ffn,financial-data,,https://github.com/pmorissette/ffn,https://github.com/pmorissette/ffn,MIT,2014-06-19 15:54:09.000,2022-06-13 12:58:10.000000,2022-06-13 12:58:07,367,11.0,205,55.0,71.0,19.0,80.0,1156,ffn - a financial function library for Python.,27.0,28,True,2021-04-21 02:47:21.000,0.3.6,27.0,ffn,conda-forge/ffn,,,,227.0,202.0,https://pypi.org/project/ffn,2021-04-21 02:47:21.000,25.0,29814.0,29881.0,https://anaconda.org/conda-forge/ffn,2021-04-22 14:02:56.125,941.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
366,gplearn,trevorstephens/gplearn,others,,https://github.com/trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,BSD-3-Clause,2015-03-26 01:01:14.000,2022-05-04 12:26:24.517000,2022-05-03 10:51:47,158,10.0,198,49.0,84.0,34.0,155.0,1147,"Genetic Programming in Python, with a scikit-learn inspired API.",11.0,28,True,2022-05-03 10:56:08.000,0.4.2,7.0,gplearn,conda-forge/gplearn,,,['sklearn'],262.0,252.0,https://pypi.org/project/gplearn,2022-05-03 10:47:30.000,10.0,5797.0,5899.0,https://anaconda.org/conda-forge/gplearn,2022-05-04 12:26:24.517,2458.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
367,pingouin,raphaelvallat/pingouin,probabilistics,,https://github.com/raphaelvallat/pingouin,https://github.com/raphaelvallat/pingouin,GPL-3.0,2018-04-01 01:10:22.000,2022-06-13 16:37:34.000000,2022-04-12 21:01:52,1181,3.0,99,25.0,55.0,36.0,178.0,1095,Statistical package in Python based on Pandas.,31.0,28,False,2022-02-20 17:08:26.000,0.5.1,36.0,pingouin,conda-forge/pingouin,,,,624.0,599.0,https://pypi.org/project/pingouin,2021-10-28 21:59:14.000,25.0,78941.0,80332.0,https://anaconda.org/conda-forge/pingouin,2022-02-20 19:06:42.211,58426.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
368,Sentinelsat,sentinelsat/sentinelsat,geospatial-data,,https://github.com/sentinelsat/sentinelsat,https://github.com/sentinelsat/sentinelsat,GPL-3.0,2015-05-22 20:32:26.000,2022-06-15 06:45:42.000000,2022-06-15 06:45:42,1122,6.0,204,61.0,239.0,10.0,316.0,774,Search and download Copernicus Sentinel satellite images.,42.0,28,False,2022-01-05 19:58:27.000,1.1.1,40.0,sentinelsat,conda-forge/sentinelsat,,,,350.0,320.0,https://pypi.org/project/sentinelsat,2022-01-05 19:58:27.000,30.0,12660.0,13030.0,https://anaconda.org/conda-forge/sentinelsat,2022-01-06 09:30:10.449,7347.0,,,,,3.0,,228.0,,,,,,,,,,,,,,,,,,
369,CLTK,cltk/cltk,nlp,,https://github.com/cltk/cltk,https://github.com/cltk/cltk,MIT,2014-01-11 23:59:47.000,2022-06-09 23:40:31.000000,2022-06-09 23:40:31,3622,8.0,307,68.0,647.0,26.0,496.0,726,The Classical Language Toolkit.,115.0,28,True,2022-04-26 06:18:37.000,1.1.1,198.0,cltk,,,,,246.0,204.0,https://pypi.org/project/cltk,2022-06-09 23:23:41.000,42.0,1770.0,1770.0,,,,,,,,2.0,,25.0,,,,,,,,,,,,,,,,,,
370,SMAC3,automl/SMAC3,hyperopt,,https://github.com/automl/SMAC3,https://github.com/automl/SMAC3,BSD-1-Clause,2016-08-17 10:58:05.000,2022-06-14 20:06:05.000000,2022-06-14 15:12:44,2301,124.0,173,41.0,475.0,79.0,297.0,703,Sequential Model-based Algorithm Configuration.,48.0,28,False,2022-05-19 17:47:57.000,1.3.3,38.0,smac,conda-forge/smac,,,,35.0,,https://pypi.org/project/smac,2022-05-19 17:48:52.000,35.0,43906.0,44143.0,https://anaconda.org/conda-forge/smac,2022-05-21 15:08:33.801,3566.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
371,ml-metadata,google/ml-metadata,ml-experiments,,https://github.com/google/ml-metadata,https://github.com/google/ml-metadata,Apache-2.0,2019-01-15 21:02:09.000,2022-06-14 22:03:13.000000,2022-06-14 22:03:12,623,33.0,98,28.0,71.0,25.0,63.0,471,For recording and retrieving metadata associated with ML developer and data scientist workflows.,15.0,28,True,2022-05-10 22:53:53.000,1.8.0,35.0,ml-metadata,,,,,242.0,223.0,https://pypi.org/project/ml-metadata,2022-05-10 22:53:53.000,19.0,644680.0,644724.0,,,,,,,,2.0,,1733.0,,,,,,,,,,,,,,,,,,
372,audioread,beetbox/audioread,audio,,https://github.com/beetbox/audioread,https://github.com/beetbox/audioread,MIT,2011-11-08 19:53:18.000,2022-04-10 00:32:17.148000,2021-12-03 18:19:53,251,,94,20.0,44.0,31.0,48.0,398,cross-library (GStreamer + Core Audio + MAD + FFmpeg) audio decoding for Python.,21.0,28,True,2020-10-20 11:23:09.000,2.1.9,25.0,audioread,conda-forge/audioread,,,,9004.0,8679.0,https://pypi.org/project/audioread,2020-10-20 11:23:09.000,325.0,896856.0,903094.0,https://anaconda.org/conda-forge/audioread,2022-04-10 00:32:17.148,442937.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
373,Neptune.ai,neptune-ai/neptune-client,ml-experiments,,https://github.com/neptune-ai/neptune-client,https://github.com/neptune-ai/neptune-client,Apache-2.0,2019-02-11 11:25:57.000,2022-06-16 05:35:10.000000,2022-06-08 13:05:04,959,40.0,27,12.0,762.0,24.0,142.0,296,Experiment tracking tool and model registry.,28.0,28,False,2022-05-31 11:44:45.000,0.16.3,134.0,neptune-client,conda-forge/neptune-client,,,,694.0,667.0,https://pypi.org/project/neptune-client,2022-05-31 11:44:45.000,27.0,714513.0,716925.0,https://anaconda.org/conda-forge/neptune-client,2022-05-31 23:23:44.173,69957.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
374,Ciphey,Ciphey/Ciphey,nlp,,https://github.com/Ciphey/Ciphey,https://github.com/Ciphey/Ciphey,MIT,2019-07-16 20:20:39.000,2022-06-10 09:30:03.000000,2022-06-10 09:30:01,1883,9.0,620,198.0,442.0,51.0,241.0,10027,"Automatically decrypt encryptions without knowing the key or cipher, decode encodings, and crack hashes.",45.0,27,True,2021-06-06 17:14:16.000,5.14.0,50.0,ciphey,,remnux/ciphey,,,,,https://pypi.org/project/ciphey,2021-06-06 17:13:48.000,,20967.0,21412.0,,,,https://hub.docker.com/r/remnux/ciphey,2022-05-27 10:54:13.897087,7.0,15605.0,2.0,,,,,,,,,,,,,,,,,,,,
375,EfficientNet-PyTorch,lukemelas/EfficientNet-PyTorch,pytorch-utils,,https://github.com/lukemelas/EfficientNet-PyTorch,https://github.com/lukemelas/EfficientNet-PyTorch,Apache-2.0,2019-05-30 05:24:11.000,2022-04-08 12:30:25.000000,2021-04-15 15:16:36,162,,1390,131.0,51.0,138.0,138.0,7017,A PyTorch implementation of EfficientNet and EfficientNetV2 (coming soon!).,24.0,27,False,2021-04-15 15:17:23.000,0.7.1,13.0,efficientnet-pytorch,,,,['pytorch'],30.0,,https://pypi.org/project/efficientnet-pytorch,2021-04-15 15:17:23.000,30.0,106181.0,166355.0,,,,,,,,2.0,,1624700.0,,,,,,,,,,,,,,,,,,
376,Trax,google/trax,others,,https://github.com/google/trax,https://github.com/google/trax,Apache-2.0,2019-10-05 15:09:14.000,2022-06-07 22:17:13.000000,2022-06-07 22:17:09,1605,13.0,707,145.0,1539.0,87.0,123.0,6944,Trax Deep Learning with Clear Code and Speed.,78.0,27,True,2021-10-26 20:29:38.000,1.4.1,24.0,trax,,,,,60.0,60.0,https://pypi.org/project/trax,2021-10-26 20:27:35.000,,5279.0,5279.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
377,Facets Overview,pair-code/facets,data-viz,,https://github.com/PAIR-code/facets,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2021-11-29 10:48:23.000000,2021-05-06 12:01:05,264,,835,275.0,93.0,76.0,76.0,6866,Visualizations for machine learning datasets.,28.0,27,False,2019-07-24 15:57:06.000,1.0.0,4.0,facets-overview,,,,['jupyter'],124.0,120.0,https://pypi.org/project/facets-overview,2019-07-24 15:57:06.000,4.0,233318.0,233318.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
378,snownlp,isnowfy/snownlp,chinese-nlp,,https://github.com/isnowfy/snownlp,https://github.com/isnowfy/snownlp,MIT,2013-11-26 11:46:56.000,2020-01-19 02:39:05.000000,2020-01-19 02:39:03,57,,1323,351.0,14.0,40.0,65.0,5837,Python library for processing Chinese text.,8.0,27,False,2015-09-27 16:35:23.000,0.12.3,17.0,snownlp,,,,,931.0,892.0,https://pypi.org/project/snownlp,2015-09-27 16:35:23.000,39.0,10644.0,10644.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
